Date,Time,Count
2020-05-14,13-38-03,2
2020-05-14,13-41-24,10
2020-05-14,13-44-45,4
2020-05-14,13-48-06,2
2020-05-14,13-51-27,1
2020-05-14,13-54-48,4
2020-05-14,13-58-09,1
2020-05-14,14-01-30,1
2020-05-14,14-04-51,6
2020-05-14,14-08-12,6
2020-05-14,14-11-33,2
2020-05-14,14-14-54,1
2020-05-14,14-18-15,1
2020-05-14,14-21-36,1
2020-05-14,14-24-57,2
2020-05-14,14-28-18,1
2020-05-14,14-31-39,4
2020-05-14,14-35-00,3
2020-05-14,14-38-21,5
2020-05-14,14-41-42,1
2020-05-14,14-45-03,2
2020-05-14,14-48-24,1
2020-05-14,14-51-45,6
2020-05-14,14-55-06,3
2020-05-14,14-58-27,3
2020-05-14,15-01-48,3
2020-05-14,15-05-09,2
2020-05-14,15-08-30,2
2020-05-14,15-11-51,1
2020-05-14,15-15-12,5
2020-05-14,15-18-33,1
2020-05-14,15-21-54,3
2020-05-14,15-25-15,0
2020-05-14,15-28-36,1
2020-05-14,15-31-57,3
2020-05-14,15-35-18,4
2020-05-14,15-38-39,2
2020-05-14,15-42-00,1
2020-05-14,15-45-21,2
2020-05-14,15-48-42,2
2020-05-14,15-52-03,1
2020-05-14,15-55-24,3
2020-05-14,15-58-45,3
2020-05-14,16-02-06,5
2020-05-14,16-05-27,2
2020-05-14,16-08-48,2
2020-05-14,16-12-09,2
2020-05-14,16-15-30,3
2020-05-14,16-18-51,2
2020-05-14,16-22-12,2
2020-05-14,16-25-33,3
2020-05-14,16-28-54,3
2020-05-14,16-32-15,1
2020-05-14,16-35-36,3
2020-05-14,16-38-57,4
2020-05-14,16-42-18,3
2020-05-14,16-45-39,4
2020-05-14,16-49-00,1
2020-05-14,16-52-21,2
2020-05-14,16-55-42,2
2020-05-14,16-59-03,0
2020-05-14,17-02-24,4
2020-05-14,17-05-45,3
2020-05-14,17-09-06,4
2020-05-14,17-12-27,2
2020-05-14,17-15-48,3
2020-05-14,17-19-09,4
2020-05-14,17-22-30,3
2020-05-14,17-25-51,2
2020-05-14,17-29-12,4
2020-05-14,17-32-33,4
2020-05-14,17-35-54,4
2020-05-14,17-39-15,5
2020-05-14,17-42-36,2
2020-05-14,17-45-57,2
2020-05-14,17-49-18,1
2020-05-14,17-52-39,1
2020-05-14,17-56-00,2
2020-05-14,17-59-21,4
2020-05-14,18-02-42,1
2020-05-14,18-06-03,2
2020-05-14,18-09-24,1
2020-05-14,18-12-45,6
2020-05-14,18-16-06,4
2020-05-14,18-19-27,8
2020-05-14,18-22-48,2
2020-05-14,18-26-09,1
2020-05-15,09-00-00,3
2020-05-15,09-03-21,2
2020-05-15,09-06-42,1
2020-05-15,09-10-03,6
2020-05-15,09-13-24,3
2020-05-15,09-16-45,5
2020-05-15,09-20-06,5
2020-05-15,09-23-27,4
2020-05-15,09-26-48,2
2020-05-15,09-30-09,4
2020-05-15,09-33-30,5
2020-05-15,09-36-51,2
2020-05-15,09-40-12,2
2020-05-15,09-43-33,5
2020-05-15,09-46-54,1
2020-05-15,09-50-15,1
2020-05-15,09-53-36,3
2020-05-15,09-56-57,2
2020-05-15,10-00-18,3
2020-05-15,10-03-39,1
2020-05-15,10-07-00,2
2020-05-15,10-10-21,1
2020-05-15,10-13-42,2
2020-05-15,10-17-03,4
2020-05-15,10-20-24,2
2020-05-15,10-23-45,3
2020-05-15,10-27-06,2
2020-05-15,10-30-27,2
2020-05-15,10-33-48,1
2020-05-15,10-37-09,3
2020-05-15,10-40-30,3
2020-05-15,10-43-51,4
2020-05-15,10-47-12,3
2020-05-15,10-50-33,4
2020-05-15,10-53-54,4
2020-05-15,10-57-15,1
2020-05-15,11-00-36,4
2020-05-15,11-03-57,1
2020-05-15,11-07-18,1
2020-05-15,11-10-39,2
2020-05-15,11-14-00,3
2020-05-15,11-17-21,1
2020-05-15,11-20-42,2
2020-05-15,11-24-03,3
2020-05-15,11-27-24,3
2020-05-15,11-30-45,3
2020-05-15,11-34-06,3
2020-05-15,11-37-27,4
2020-05-15,11-40-48,0
2020-05-15,11-44-09,1
2020-05-15,11-47-30,4
2020-05-15,11-50-51,4
2020-05-15,11-54-12,2
2020-05-15,11-57-33,3
2020-05-15,12-00-54,6
2020-05-15,12-04-15,1
2020-05-15,12-07-36,2
2020-05-15,12-10-57,0
2020-05-15,12-14-18,4
2020-05-15,12-17-39,2
2020-05-15,12-21-00,1
2020-05-15,12-24-21,1
2020-05-15,12-27-42,1
2020-05-15,12-31-03,5
2020-05-15,12-34-24,2
2020-05-15,12-37-45,1
2020-05-15,12-41-06,4
2020-05-15,12-44-27,5
2020-05-15,12-47-48,4
2020-05-15,12-51-09,0
2020-05-15,12-54-30,8
2020-05-15,12-57-51,2
2020-05-15,13-01-12,2
2020-05-15,13-04-33,2
2020-05-15,13-07-54,6
2020-05-15,13-11-15,2
2020-05-15,13-14-36,2
2020-05-15,13-17-57,4
2020-05-15,13-21-18,4
